UNIPROT,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE
Q7Q6L5,AGAP005777,AGAP005777-PA,AGAP005777-RA,1276446,AgaP_AGAP005777,
A0NE36,AGAP008681,AGAP008681-PA,AGAP008681-RA,4578114,AgaP_AGAP008681,
Q7Q4C6,,,,1277648,AgaP_AGAP008334,
A7UUS5,AGAP007879,AGAP007879-PA,AGAP007879-RA,4578212,AgaP_AGAP007879,
A0NBF8,AGAP007466,AGAP007466-PA,AGAP007466-RA,4576195,AgaP_AGAP007466,
Q7PNA8,,,,1277771,AgaP_AGAP008200,
Q7PG22,,,,1271800,AgaP_AGAP000442,
Q7PSJ7,AGAP010973,AGAP010973-PA,AGAP010973-RA,1270983,AgaP_AGAP010973,
Q7Q9J1,AGAP005210,AGAP005210-PA,AGAP005210-RA,1274918,AgaP_AGAP005210,
Q7QH49,AGAP004090,AGAP004090-PA,AGAP004090-RA,1270887,AgaP_AGAP004090,
Q7Q1A8,AGAP009875,AGAP009875-PA,AGAP009875-RA,1279294,CPR77,
A0NGL2,AGAP012190,AGAP012190-PA,AGAP012190-RA,4577642,AgaP_AGAP012190,
Q7Q1H7,,,,1279197,AgaP_AGAP009784,
Q5TX26,AGAP007621,AGAP007621-PA,AGAP007621-RA,3290402,AgaP_AGAP007621,
A7US86,AGAP010976,AGAP010976-PA,AGAP010976-RA,5667840,AgaP_AGAP010976,
Q7PZL6,AGAP011972,AGAP011972-PA,AGAP011972-RA,1280698,AgaP_AGAP011972,
Q7QFN1,AGAP000576,AGAP000576-PA,AGAP000576-RA,1271644,AgaP_AGAP000576,
A0NGP9,AGAP011923,AGAP011923-PA,AGAP011923-RA,4577688,AgaP_AGAP011923,
Q5TU11,AGAP002820,AGAP002820-PA,AGAP002820-RA,4576800,AgaP_AGAP002820,
Q5TMQ4,AGAP011906,AGAP011906-PA,AGAP011906-RA,3291448,AgaP_AGAP011906,
Q7Q5D1,AGAP006513,AGAP006513-PA,AGAP006513-RA,1277107,AgaP_AGAP006513,
Q7PYI1,AGAP001951,AGAP001951-PA,AGAP001951-RA,1281174,AgaP_AGAP001951,
Q7PPJ8,,,,1275566,AgaP_AGAP008716,
A0NBP2,AGAP006744,AGAP006744-PA,AGAP006744-RA,4576528,AgaP_AGAP006744,
Q7PSL4,AGAP003498,AGAP003498-PA,AGAP003498-RA,1270931,AgaP_AGAP003498,
A0NEM7,AGAP006089,AGAP006089-PA,AGAP006089-RA,4576708,AgaP_AGAP006089,
Q7QKH1,AGAP009434,AGAP009434-PA,AGAP009434-RA,1269236,AgaP_AGAP009434,
A0NEM2,AGAP006071,AGAP006071-PA,AGAP006071-RA,4576203,AgaP_AGAP006071,
Q7PXV9,AGAP001623,AGAP001623-PA,AGAP001623-RA,1281551,AgaP_AGAP001623,
Q5TPE9,AGAP010804,AGAP010804-PA,AGAP010804-RA,3291171,AgaP_AGAP010804,
Q7QB65,AGAP004158,AGAP004158-PA,AGAP004158-RA,1273983,AgaP_AGAP004158,
A0NGY9,AGAP001725,AGAP001725-PA,AGAP001725-RA,4577329,AgaP_AGAP001725,
Q7PYE5,AGAP001900,AGAP001900-PA,AGAP001900-RA,1281225,AgaP_AGAP001900,
Q7PPL9,AGAP008598,AGAP008598-PA,AGAP008598-RA,1275451,AgaP_AGAP008598,
A0A1W5,,,,,,
Q7Q4V6,AGAP000856,AGAP000856-PA,AGAP000856-RA,1277369,AgaP_AGAP000856,
A7UU49,AGAP006190,AGAP006190-PA,AGAP006190-RA,5667104,AgaP_AGAP006190,
Q7Q820,AGAP004900,AGAP004900-PA,AGAP004900-RA,1275705,AgaP_AGAP004900,
A0NF67,,,,4578357,AgaP_AGAP008025,
F5HLN0,AGAP013017,AGAP013017-PA,AGAP013017-RA,11175867,AgaP_AGAP013017,
F5HKZ4,AGAP013411,AGAP013411-PA,AGAP013411-RA,11175788,AgaP_AGAP013411,
Q7Q8H8,,,,1275475,AgaP_AGAP008627,
Q7QGY6,AGAP010956,AGAP010956-PA,AGAP010956-RA,1271009,AgaP_AGAP010956,
Q7Q0T8,,,,1279586,AgaP_AGAP010167,
Q7PZY7,AGAP012152,AGAP012152-PA,AGAP012152-RA,1280529,AgaP_AGAP012152,
Q7PN08,AGAP011502,AGAP011502-PA,AGAP011502-RA,1278340,AgaP_AGAP011502,
Q5TWZ6,AGAP007508,AGAP007508-PA,AGAP007508-RA,3290384,AgaP_AGAP007508,
Q7QBY3,AGAP002360,AGAP002360-PA,AGAP002360-RA,1273602,AgaP_AGAP002360,
Q5TPC8,AGAP009618,AGAP009618-PA,AGAP009618-RA,3292012,AgaP_AGAP009618,
A7UTW1,AGAP005788,AGAP005788-PA,AGAP005788-RA,5667181,AgaP_AGAP005788,
Q7Q7N5,AGAP004606,AGAP004606-PA,AGAP004606-RA,1275928,AgaP_AGAP004606,
A7UUJ8,AGAP000854,AGAP000854-PA,AGAP000854-RA,5666765,AgaP_AGAP000854,
Q7PNP5,AGAP005536,AGAP005536-PA,AGAP005536-RA,1276218,AgaP_AGAP005536,
Q7PWM1,AGAP008918,AGAP008918-PA,AGAP008918-RA,1279886,AgaP_AGAP008918,
A7UUS6,,,,5668169,AgaP_AGAP007861,
Q7QDB1,AGAP003038,AGAP003038-PA,AGAP003038-RA,1272915,AgaP_AGAP003038,
Q7QDF8,AGAP003465,AGAP003465-PA,AGAP003465-RA,1272836,AgaP_AGAP003465,
A0NFR5,AGAP009636,AGAP009636-PA,AGAP009636-RA,4578392,AgaP_AGAP009636,
Q7Q5A4,AGAP006541,AGAP006541-PA,AGAP006541-RA,1277140,AgaP_AGAP006541,
Q7PMY3,,,,1278339,AgaP_AGAP011483,
Q5TWY3,AGAP007467,AGAP007467-PA,AGAP007467-RA,3290377,AgaP_AGAP007467,
Q7QI29,,,,1270439,CTL7,
A0NEH3,AGAP005757,AGAP005757-PA,AGAP005757-RA,4576659,COEAE2E,
Q5TXC3,,,,1269241,AgaP_AGAP009443,
F5HLU5,AGAP004592,AGAP004592-PG,AGAP004592-RG,1275942,AgaP_AGAP004592,
Q7PD64,AGAP010157,AGAP010157-PA,AGAP010157-RA,1279573,AST2,
Q7PX85,AGAP001274,AGAP001274-PA,AGAP001274-RA,1281904,AgaP_AGAP001274,
Q7Q4D9,,,,1277627,AgaP_AGAP008354,
Q7Q7C4,AGAP005386,AGAP005386-PA,AGAP005386-RA,1276088,AgaP_AGAP005386,
Q7PSB0,,,,1271414,AgaP_AGAP009496,
A0NBB9,AGAP006843,AGAP006843-PA,AGAP006843-RA,4576767,CPR52,
Q7QJP5,AGAP007605,AGAP007605-PA,AGAP007605-RA,1269624,AgaP_AGAP007605,
Q7QEX7,AGAP000199,AGAP000199-PB,AGAP000199-RB,1272066,AgaP_AGAP000199,
A7UUZ9,AGAP004013,AGAP004013-PA,AGAP004013-RA,5667435,AgaP_AGAP004013,
Q7QCF8,AGAP002606,AGAP002606-PA,AGAP002606-RA,1273362,AgaP_AGAP002606,
Q7PD39,AGAP005024,AGAP005024-PA,AGAP005024-RA,1267439,AgaP_AGAP012559,
Q7PQ12,AGAP005050,AGAP005050-PA,AGAP005050-RA,1274731,AgaP_AGAP005050,
Q7QE59,AGAP000810,AGAP000810-PA,AGAP000810-RA,1272399,AgaP_AGAP000810,
Q7QJ85,AGAP007354,AGAP007354-PA,AGAP007354-RA,1269825,AgaP_AGAP007354,
Q5TS29,AGAP008752,AGAP008752-PA,AGAP008752-RA,3291804,AgaP_AGAP008752,
Q7Q177,AGAP009930,AGAP009930-PA,AGAP009930-RA,1279345,AgaP_AGAP009930,
Q7PQ22,AGAP005099,AGAP005099-PA,AGAP005099-RA,1274774,AgaP_AGAP005099,
F5HIR0,AGAP013058,AGAP013058-PA,AGAP013058-RA,11175675,AgaP_AGAP013058,
Q7QKE1,AGAP002282,AGAP002282-PA,AGAP002282-RA,1269277,AgaP_AGAP002282,
Q7PFI3,AGAP010958,AGAP010958-PA,AGAP010958-RA,1271006,AgaP_AGAP010958,
A7UVB4,,,,5667960,AgaP_AGAP012274,
Q7QDF9,AGAP003464,AGAP003464-PA,AGAP003464-RA,1272835,AgaP_AGAP003464,
Q7PVR3,AGAP009204,AGAP009204-PA,AGAP009204-RA,1280165,EIF3H_ANOGA,
Q7Q2A2,AGAP003944,AGAP003944-PA,AGAP003944-RA,1278773,AgaP_AGAP003944,
Q7QJK1,AGAP007553,AGAP007553-PA,AGAP007553-RA,1269679,AgaP_AGAP007553,
Q7PNH4,,,,1277449,AgaP_AGAP008522,
A7UT33,AGAP004306,AGAP004306-PA,AGAP004306-RA,5667508,AgaP_AGAP004306,
Q7QJE3,AGAP007474,AGAP007474-PA,AGAP007474-RA,1269749,AgaP_AGAP007474,
Q7Q3I0,AGAP007885,AGAP007885-PA,AGAP007885-RA,1278072,AgaP_AGAP007885,
Q7PUK4,AGAP001593,AGAP001593-PA,AGAP001593-RA,1281580,AgaP_AGAP001593,
Q7PVQ5,,,,1280170,AgaP_AGAP009211,
Q7QD64,AGAP002976,AGAP002976-PA,AGAP002976-RA,1272984,AgaP_AGAP002976,
Q7QFQ6,AGAP000621,AGAP000621-PA,AGAP000621-RA,1271681,AgaP_AGAP000621,
Q7Q885,,,,1275602,AgaP_AGAP008749,
A7UTG6,,,,5668234,AgaP_AGAP008547,
A7UVK7,AGAP002070,AGAP002070-PA,AGAP002070-RA,5667621,AgaP_AGAP002070,
Q5TY35,AGAP012870,AGAP012870-PA,AGAP012870-RA,3292575,AgaP_AGAP012870,
Q7Q9G9,AGAP005241,AGAP005241-PA,AGAP005241-RA,1274948,AgaP_AGAP005241,
Q7PTY9,AGAP012516,AGAP012516-PA,AGAP012516-RA,1268848,AgaP_AGAP012516,Aga.2517
Q7QGK7,AGAP011582,AGAP011582-PA,AGAP011582-RA,1271177,AgaP_AGAP011582,
F5HJV1,AGAP000696,AGAP000696-PC,AGAP000696-RC,4575960,AgaP_AGAP000696,
Q7QIC3,AGAP006777,AGAP006777-PA,AGAP006777-RA,1270285,AgaP_AGAP006777,
Q7Q570,AGAP006609,AGAP006609-PA,AGAP006609-RA,1277194,AgaP_AGAP006609,
Q5TR76,AGAP006045,AGAP006045-PA,AGAP006045-RA,3290092,AgaP_AGAP006045,
Q7PYR3,AGAP002073,AGAP002073-PA,AGAP002073-RA,1281040,AgaP_AGAP002073,
A0NEX1,AGAP006668,AGAP006668-PA,AGAP006668-RA,4576768,AgaP_AGAP006668,
Q7PI40,,,,1275996,AgaP_AGAP010332,Aga.31506
Q7Q0I4,AGAP003302,AGAP003302-PA,AGAP003302-RA,1279773,AgaP_AGAP003302,
F5HLS4,AGAP013207,AGAP013207-PA,AGAP013207-RA,11175690,AgaP_AGAP013207,
Q7Q0H6,AGAP003315,AGAP003315-PA,AGAP003315-RA,1279764,AgaP_AGAP003315,
Q7Q2B7,AGAP003923,AGAP003923-PA,AGAP003923-RA,1278750,CARM1_ANOGA,
Q7PWU5,,,,1279811,AgaP_AGAP008848,
A0NCX0,,,,4577667,AgaP_AGAP010341,
Q7PT23,AGAP007386,AGAP007386-PA,AGAP007386-RA,1269796,LYSC7,
Q7Q5P9,AGAP006279,AGAP006279-PA,AGAP006279-RA,1276933,AgaP_AGAP006279,
Q7Q7C8,AGAP005381,AGAP005381-PC,AGAP005381-RC,1276083,AgaP_AGAP005381,
Q7PNT6,AGAP005870,AGAP005870-PA,AGAP005870-RA,1276536,AgaP_AGAP005870,
A0A1W5,,,,,,
Q5TWL1,AGAP006955,AGAP006955-PA,AGAP006955-RA,3290275,AgaP_AGAP006955,
Q5TUF3,,,,1272665,AgaP_AGAP010377,
Q7PV09,,,,1280700,AgaP_AGAP011970,
Q7QC71,AGAP002480,AGAP002480-PA,AGAP002480-RA,1273479,AgaP_AGAP002480,
Q7QBM0,AGAP003099,AGAP003099-PA,AGAP003099-RA,1273774,AgaP_AGAP003099,
Q7PPP7,,,,1275399,AgaP_AGAP010307,
A0NFW4,AGAP009870,AGAP009870-PA,AGAP009870-RA,4578144,CPR151,
Q7PZ92,AGAP011798,AGAP011798-PA,AGAP011798-RA,1280851,AgaP_AGAP011798,
Q7QEV0,AGAP000162,AGAP000162-PA,AGAP000162-RA,1272101,AgaP_AGAP000162,
Q7QC11,AGAP002394,AGAP002394-PA,AGAP002394-RA,1273568,AgaP_AGAP002394,
Q7Q040,AGAP012249,AGAP012249-PA,AGAP012249-RA,1280440,AgaP_AGAP012249,
Q5TTF6,AGAP003075,AGAP003075-PB,AGAP003075-RB,3290742,AgaP_AGAP003075,
Q5TMT9,,,,3291475,AgaP_AGAP012001,
Q7Q434,,,,1277785,AgaP_AGAP008185,
Q7QJ86,AGAP007356,AGAP007356-PA,AGAP007356-RA,1269823,AgaP_AGAP007356,
Q7Q987,AGAP004885,AGAP004885-PA,AGAP004885-RA,1275071,AgaP_AGAP004885,
Q7QHS8,,,,1270599,AgaP_AGAP011340,
Q7Q3R5,,,,1277954,AgaP_AGAP007996,
A0NDE2,AGAP004189,AGAP004189-PA,AGAP004189-RA,4577268,AgaP_AGAP004189,
Q5TTU4,AGAP002568,AGAP002568-PA,AGAP002568-RA,3290637,AgaP_AGAP002568,
Q7Q3Q1,AGAP007980,AGAP007980-PA,AGAP007980-RA,1277968,AgaP_AGAP007980,
Q7PZ31,AGAP011698,AGAP011698-PA,AGAP011698-RA,4577911,AgaP_AGAP011698,
Q5TVJ7,AGAP011589,AGAP011589-PA,AGAP011589-RA,3291371,AgaP_AGAP011589,
Q5TXE0,AGAP003275,AGAP003275-PA,AGAP003275-RA,1269177,AgaP_AGAP003275,
Q7QKC6,AGAP002264,AGAP002264-PA,AGAP002264-RA,1269294,AgaP_AGAP002264,
A7UV00,AGAP004006,AGAP004006-PA,AGAP004006-RA,5667438,AgaP_AGAP004006,
A0NE58,AGAP008800,AGAP008800-PA,AGAP008800-RA,4577989,AgaP_AGAP008800,
Q7PZW8,AGAP012123,AGAP012123-PA,AGAP012123-RA,1280554,AgaP_AGAP012123,
A7USL9,AGAP000816,AGAP000816-PA,AGAP000816-RA,5666768,AgaP_AGAP000816,
Q7PJX0,AGAP010057,AGAP010057-PA,AGAP010057-RA,1279487,AgaP_AGAP010057,
Q380H3,AGAP001460,AGAP001460-PA,AGAP001460-RA,1281715,AgaP_AGAP001460,
Q7Q4A7,AGAP008315,AGAP008315-PA,AGAP008315-RA,1277672,AgaP_AGAP008315,
Q7PVY2,,,,1280107,AgaP_AGAP009150,
Q5TSK3,AGAP004888,AGAP004888-PA,AGAP004888-RA,3289865,AgaP_AGAP004888,
Q7QDF7,AGAP003466,AGAP003466-PA,AGAP003466-RA,1272837,AgaP_AGAP003466,
Q7PNF8,,,,1277636,GPRRK,
A0NES4,AGAP006407,AGAP006407-PA,AGAP006407-RA,4576267,AgaP_AGAP006407,
Q5TP56,AGAP009734,AGAP009734-PA,AGAP009734-RA,4578033,AgaP_AGAP009734,
Q5TTW0,AGAP002621,AGAP002621-PA,AGAP002621-RA,3290653,AgaP_AGAP002621,
Q5TRL2,AGAP005533,AGAP005533-PA,AGAP005533-RA,1276216,AgaP_AGAP005533,
F5HIR7,AGAP013171,AGAP013171-PA,AGAP013171-RA,11175901,AgaP_AGAP013171,
Q7PPG7,AGAP004987,AGAP004987-PA,AGAP004987-RA,1275813,AgaP_AGAP004987,
A7UR99,AGAP007563,AGAP007563-PA,AGAP007563-RA,1269667,AgaP_AGAP007563,
A0NCV8,AGAP010412,AGAP010412-PA,AGAP010412-RA,4577859,AgaP_AGAP010412,
F7IVC5,AGAP002190,AGAP002190-PA,AGAP002190-RA,1269368,OBP39,
A7UVH8,AGAP011615,AGAP011615-PA,AGAP011615-RA,5667990,AgaP_AGAP011615,
Q7PYV6,AGAP002127,AGAP002127-PA,AGAP002127-RA,1281358,AgaP_AGAP002127,
Q5TQ04,AGAP011462,AGAP011462-PA,AGAP011462-RA,1278343,AgaP_AGAP011462,
Q7PN40,AGAP007773,AGAP007773-PA,AGAP007773-RA,1278192,AgaP_AGAP007773,
Q7QD27,AGAP002920,AGAP002920-PA,AGAP002920-RA,1273044,AgaP_AGAP002920,
Q7QFT3,AGAP003855,AGAP003855-PA,AGAP003855-RA,1271592,AgaP_AGAP003855,
Q5TRP0,AGAP005448,AGAP005448-PA,AGAP005448-RA,3289968,AgaP_AGAP005448,
Q7QIK8,AGAP006932,AGAP006932-PA,AGAP006932-RA,1270154,AgaP_AGAP006932,
Q5TN06,AGAP012097,AGAP012097-PA,AGAP012097-RA,1269095,AgaP_AGAP012097,
A7UVF9,AGAP011841,AGAP011841-PA,AGAP011841-RA,5667918,AgaP_AGAP011841,
F5HK43,AGAP013339,AGAP013339-PA,AGAP013339-RA,11175681,AgaP_AGAP013339,
A7UR64,AGAP007721,AGAP007721-PA,AGAP007721-RA,1269522,AgaP_AGAP007721,
Q7Q297,AGAP003962,AGAP003962-PC,AGAP003962-RC,1278784,WSCD_ANOGA,
O77473,AGAP004164,AGAP004164-PD,AGAP004164-RD,1273988,GST1D_ANOGA,
Q5TWY1,AGAP007458,AGAP007458-PA,AGAP007458-RA,3290373,AgaP_AGAP007458,
Q7PVV3,,,,1280132,AgaP_AGAP009175,
Q5TND7,AGAP009127,AGAP009127-PA,AGAP009127-RA,3291907,AgaP_AGAP009127,
Q7QGG7,,,,1271257,AgaP_AGAP009312,
Q7QFP5,AGAP000603,AGAP000603-PA,AGAP000603-RA,1271625,AgaP_AGAP000603,
A4GSA9,AGAP002643,AGAP002643-PA,AGAP002643-RA,1273319,AgaP_AGAP002643,
Q7QJN1,AGAP007586,AGAP007586-PA,AGAP007586-RA,1269641,AgaP_AGAP007586,
Q5TU15,AGAP002846,AGAP002846-PA,AGAP002846-RA,3290689,AgaP_AGAP002846,
Q7QG76,AGAP009544,AGAP009544-PA,AGAP009544-RA,1271366,AgaP_AGAP009544,
Q8I8P6,AGAP010649,AGAP010649-PA,AGAP010649-RA,1272543,AgaP_AGAP010649,
Q5TT17,AGAP004340,AGAP004340-PA,AGAP004340-RA,3291007,AgaP_AGAP004340,
Q5TPA6,AGAP010196,AGAP010196-PA,AGAP010196-RA,1279616,CTLGA1,
A0A1W5,,,,,,
Q7PF35,AGAP006874,AGAP006874-PA,AGAP006874-RA,1270204,GPRGR29,
Q7Q7D7,AGAP005365,AGAP005365-PA,AGAP005365-RA,1276069,AgaP_AGAP005365,
Q7PKB4,AGAP011643,AGAP011643-PA,AGAP011643-RA,1280992,GPRMTHL7,
Q7PVB7,,,,1280785,AgaP_AGAP011874,
Q7PUI9,AGAP002078,AGAP002078-PA,AGAP002078-RA,1281036,AgaP_AGAP002078,
A0NE78,AGAP004936,AGAP004936-PA,AGAP004936-RA,4576352,AgaP_AGAP004936,
F5HLD3,AGAP013179,AGAP013179-PA,AGAP013179-RA,11175548,AgaP_AGAP013179,
Q7PSC6,AGAP009498,AGAP009498-PA,AGAP009498-RA,1271412,AgaP_AGAP009498,
A0NAV5,AGAP012700,AGAP012700-PA,AGAP012700-RA,4397778,AgaP_AGAP012700,
Q7PTG5,AGAP007700,AGAP007700-PA,AGAP007700-RA,1269533,AgaP_AGAP007700,
A7USM3,AGAP010689,AGAP010689-PA,AGAP010689-RA,5668044,AgaP_AGAP010689,
Q7QHA9,AGAP011108,AGAP011108-PA,AGAP011108-RA,1270816,AgaP_AGAP011108,
Q7QGR0,AGAP010860,AGAP010860-PA,AGAP010860-RA,4577690,AgaP_AGAP010860,
Q7Q9F1,AGAP005254,AGAP005254-PB,AGAP005254-RB,1274969,AgaP_AGAP005254,
F5HIQ8,AGAP013184,AGAP013184-PA,AGAP013184-RA,11175953,CLIPB36,
Q7Q7X6,AGAP004969,AGAP004969-PA,AGAP004969-RA,1275780,AgaP_AGAP004969,
Q7QFD6,AGAP000425,AGAP000425-PA,AGAP000425-RA,1271820,AgaP_AGAP000425,
A7URR4,AGAP007074,AGAP007074-PA,AGAP007074-RA,5666847,AgaP_AGAP007074,
A7UST0,AGAP002822,AGAP002822-PA,AGAP002822-RA,5667610,AgaP_AGAP002822,
H2KMF4,AGAP009863,AGAP009863-PA,AGAP009863-RA,1279280,AgaP_AGAP009863,
F5HJI7,AGAP013275,AGAP013275-PA,AGAP013275-RA,11175887,AgaP_AGAP013275,
Q7QEX2,AGAP000193,AGAP000193-PA,AGAP000193-RA,1272071,AgaP_AGAP000193,
A7USS3,AGAP002916,AGAP002916-PA,AGAP002916-RA,5667574,AgaP_AGAP002916,
Q7QEV7,AGAP000172,AGAP000172-PA,AGAP000172-RA,1272091,AgaP_AGAP000172,
Q7PV19,AGAP012092,AGAP012092-PA,AGAP012092-RA,1280582,AgaP_AGAP012092,
A0NBL7,AGAP007008,AGAP007008-PA,AGAP007008-RA,4576205,AgaP_AGAP007008,
Q7PPV3,AGAP004847,AGAP004847-PA,AGAP004847-RA,1275120,SCRB7,
Q5TT70,AGAP003670,AGAP003670-PA,AGAP003670-RA,3290880,AgaP_AGAP003670,
Q7PWR4,AGAP008876,AGAP008876-PA,AGAP008876-RA,1279845,AgaP_AGAP008876,
Q7PQA3,AGAP004422,AGAP004422-PA,AGAP004422-RA,1274564,AgaP_AGAP004422,
F5HML7,AGAP013450,AGAP013450-PA,AGAP013450-RA,11175893,AgaP_AGAP013450,
Q7Q461,,,,1277743,AgaP_AGAP008236,
Q5TSD0,,,,3291105,AgaP_AGAP010500,
A0NCW4,,,,4577825,AgaP_AGAP010372,
Q7PVN2,,,,1280190,AgaP_AGAP009232,
Q7Q8F8,,,,1275499,AgaP_AGAP008650,
Q5TRA3,AGAP005937,AGAP005937-PA,AGAP005937-RA,3290072,AgaP_AGAP005937,
Q7QL84,,,,,,
Q7QKB6,AGAP002255,AGAP002255-PA,AGAP002255-RA,1269306,AgaP_AGAP002255,
A7UR10,AGAP012788,AGAP012788-PA,AGAP012788-RA,5668390,AgaP_AGAP012788,
Q7PZM4,,,,1280688,AgaP_AGAP011983,
Q7QC38,AGAP002433,AGAP002433-PA,AGAP002433-RA,1273528,AgaP_AGAP002433,
Q7PXI3,AGAP001417,AGAP001417-PA,AGAP001417-RA,1281759,AgaP_AGAP001417,
Q5TVK5,AGAP011555,AGAP011555-PA,AGAP011555-RA,3291367,AgaP_AGAP011555,
Q7QCQ1,AGAP002753,AGAP002753-PA,AGAP002753-RA,1273217,AgaP_AGAP002753,
Q7PY02,AGAP001684,AGAP001684-PA,AGAP001684-RA,1281493,AgaP_AGAP001684,
Q5TN78,AGAP012351,AGAP012351-PA,AGAP012351-RA,3291565,AgaP_AGAP012351,
Q7PUJ4,AGAP001104,AGAP001104-PA,AGAP001104-RA,1282061,AgaP_AGAP001104,
Q7Q3A8,,,,1278173,AgaP_AGAP007789,
Q7QDW0,AGAP010450,AGAP010450-PA,AGAP010450-RA,1272589,AgaP_AGAP010450,
Q7PGE8,AGAP002340,AGAP002340-PA,AGAP002340-RA,1273627,EIF3A_ANOGA,
A7US45,AGAP011253,AGAP011253-PA,AGAP011253-RA,5667880,AgaP_AGAP011253,
Q7PRR3,AGAP000260,AGAP000260-PC,AGAP000260-RC,1271996,AgaP_AGAP000260,
A7USK9,,,,5666781,AgaP_AGAP000745,
Q5TVT5,AGAP003487,AGAP003487-PA,AGAP003487-RA,3290852,AgaP_AGAP003487,
Q5TNI3,,,,1280184,AgaP_AGAP009227,
Q7PFG2,AGAP004067,AGAP004067-PA,AGAP004067-RA,1270869,GPROR58,
Q7PWR9,,,,1279842,AgaP_AGAP008873,
Q7QCC9,AGAP002567,AGAP002567-PA,AGAP002567-RA,1273400,AgaP_AGAP002567,
A0NEL3,AGAP006036,AGAP006036-PA,AGAP006036-RA,4576277,AgaP_AGAP006036,
Q7PX30,AGAP001190,AGAP001190-PA,AGAP001190-RA,1281981,AgaP_AGAP001190,
Q7Q3X5,,,,1277863,AgaP_AGAP008088,
A0NEI0,AGAP005789,AGAP005789-PA,AGAP005789-RA,4576628,AgaP_AGAP005789,
Q7Q468,AGAP008253,AGAP008253-PA,AGAP008253-RA,1277729,AgaP_AGAP008253,
Q7QKA9,AGAP002243,AGAP002243-PA,AGAP002243-RA,1269318,AgaP_AGAP002243,
Q7QII5,AGAP006888,AGAP006888-PA,AGAP006888-RA,1270193,AgaP_AGAP006888,
Q7QNM5,,,,1268680,AgaP_AGAP012596,
Q5TMR7,,,,1280730,AgaP_AGAP011939,
Q7PUK3,AGAP001718,AGAP001718-PA,AGAP001718-RA,1281456,AgaP_AGAP001718,
Q7PM22,AGAP009756,AGAP009756-PA,AGAP009756-RA,1279162,ANCE6,
Q7Q7C3,AGAP005387,AGAP005387-PA,AGAP005387-RA,1276089,AgaP_AGAP005387,
Q5TNI1,AGAP009213,AGAP009213-PA,AGAP009213-RA,3291927,SRPN16,
A7UUH3,AGAP006656,AGAP006656-PB,AGAP006656-RB,1277242,AgaP_AGAP006656,
Q7PWZ5,AGAP001135,AGAP001135-PA,AGAP001135-RA,1282031,AgaP_AGAP001135,
Q7PIX9,AGAP007756,AGAP007756-PA,AGAP007756-RA,1278210,GPRGR46,
Q5TSF1,AGAP010574,AGAP010574-PA,AGAP010574-RA,3291118,AgaP_AGAP010574,
Q7Q1U6,AGAP009625,AGAP009625-PA,AGAP009625-RA,1279001,AgaP_AGAP009625,
A7UTA3,AGAP005205,AGAP005205-PF,AGAP005205-RF,1274911,PGRPLA,
Q7PQA4,AGAP004455,AGAP004455-PA,AGAP004455-RA,1274601,GNBPB1,
A0NEK7,AGAP006002,AGAP006002-PA,AGAP006002-RA,4576296,CPR137,
Q7Q0Q4,AGAP010213,AGAP010213-PA,AGAP010213-RA,1279635,AgaP_AGAP010213,
Q5TQN9,,,,1277377,AgaP_AGAP000863,
Q7Q5Q9,AGAP006258,AGAP006258-PA,AGAP006258-RA,1276915,PPO2,
Q7PNT5,AGAP005927,AGAP005927-PA,AGAP005927-RA,1276594,AgaP_AGAP005927,
F7IUW6,AGAP001205,AGAP001205-PA,AGAP001205-RA,1281963,AgaP_AGAP001205,
Q7PRP1,AGAP000755,AGAP000755-PA,AGAP000755-RA,1272345,AgaP_AGAP000755,
Q5TR22,AGAP006261,AGAP006261-PA,AGAP006261-RA,3290137,CPR135,
Q7Q5Z6,AGAP006120,AGAP006120-PA,AGAP006120-RA,1276790,AgaP_AGAP006120,
A7UR93,AGAP007583,AGAP007583-PB,AGAP007583-RB,1269647,AgaP_AGAP007583,
Q7QGW6,,,,1271034,AgaP_AGAP010915,
F5HKU4,AGAP013229,AGAP013229-PA,AGAP013229-RA,11175951,AgaP_AGAP013229,
Q7PNX8,AGAP006667,AGAP006667-PA,AGAP006667-RA,1277252,GPROR49,
Q7Q9V1,AGAP005034,AGAP005034-PA,AGAP005034-RA,1274862,GPRMGL5,
Q7PY37,AGAP001733,AGAP001733-PA,AGAP001733-RA,1281442,AgaP_AGAP001733,
Q7Q345,AGAP011475,AGAP011475-PA,AGAP011475-RA,1278376,AgaP_AGAP011475,
Q7QJG7,AGAP007506,AGAP007506-PA,AGAP007506-RA,1269720,AgaP_AGAP007506,
Q7Q4T5,AGAP000879,AGAP000879-PA,AGAP000879-RA,1277395,AgaP_AGAP000879,
Q7PZ69,AGAP011759,AGAP011759-PA,AGAP011759-RA,1280881,AgaP_AGAP011759,
A7UR45,AGAP003903,AGAP003903-PA,AGAP003903-RA,5667516,AgaP_AGAP003903,
A7UV68,,,,5668309,AgaP_AGAP010264,
Q7Q4E2,,,,1277623,AgaP_AGAP008357,
Q7Q1R6,AGAP009660,AGAP009660-PA,AGAP009660-RA,1279044,AgaP_AGAP009660,
F5HKB4,AGAP013498,AGAP013498-PA,AGAP013498-RA,11175502,AgaP_AGAP013498,
Q7QIL5,AGAP006941,AGAP006941-PA,AGAP006941-RA,1270143,AgaP_AGAP006941,
